protein;p.value;q.value;sig;sigq;Treatment;mean;sd;n
Clmp;8,00826264874283e-01;0,89848800449309807;;;Control + CI;4,677232;0,2271308343664508;5
Clmp;8,00826264874283e-01;0,89848800449309807;;;Pneumonia + CI;4,717664;0,2615665757125706;5
Matn2;1,12118541706067e-01;0,36299814916506712;;;Control + CI;3,317852;0,2459980021666844;5
Matn2;1,12118541706067e-01;0,36299814916506712;;;Pneumonia + CI;3,674610;0,3640022884543447;5
Cpe;4,75938552181058e-01;0,66180214835198214;;;Control + CI;5,068846;0,2566653083881810;5
Cpe;4,75938552181058e-01;0,66180214835198214;;;Pneumonia + CI;5,186250;0,2393345536064526;5
Gcg;2,13681457394889e-05;0,00196586940803298;****;**;Control + CI;0,387854;0,4995680685151925;5
Gcg;2,13681457394889e-05;0,00196586940803298;****;**;Pneumonia + CI;3,331298;0,5465922576930631;5
Gdnf;1,85979601627114e-01;0,38886643976578378;;;Control + CI;-0,294676;0,1639961710833518;5
Gdnf;1,85979601627114e-01;0,38886643976578378;;;Pneumonia + CI;-0,150632;0,1503283548436555;5
Yes1;6,76690293308907e-01;0,81915140768972949;;;Control + CI;0,160620;0,2817059063101092;5
Yes1;6,76690293308907e-01;0,81915140768972949;;;Pneumonia + CI;0,076884;0,3280414282221074;5
Il17a;6,13351031475226e-02;0,36299814916506712;;;Control + CI;1,664550;1,1680392864754165;5
Il17a;6,13351031475226e-02;0,36299814916506712;;;Pneumonia + CI;0,331714;0,4050919815054354;5
Foxo1;6,06371165710611e-01;0,76419379788186592;;;Control + CI;1,042216;0,1366067909366149;5
Foxo1;6,06371165710611e-01;0,76419379788186592;;;Pneumonia + CI;1,097648;0,1854411570283145;5
Tnfrsf11b;7,40224845525355e-02;0,36299814916506712;;;Control + CI;4,209616;0,2461362315466783;5
Tnfrsf11b;7,40224845525355e-02;0,36299814916506712;;;Pneumonia + CI;3,835576;0,3193962949534638;5
Tgfb1;1,75284419105479e-01;0,38886643976578378;;;Control + CI;2,014766;0,2367851141436049;5
Tgfb1;1,75284419105479e-01;0,38886643976578378;;;Pneumonia + CI;1,760912;0,2970202923539064;5
Pla2g4a;4,72217681567212e-03;0,15788348652749884;**;;Control + CI;5,983996;0,6181798952408595;5
Pla2g4a;4,72217681567212e-03;0,15788348652749884;**;;Pneumonia + CI;4,491978;0,5995427819347006;5
Il6;6,24397740809838e-01;0,77627827235817692;;;Control + CI;1,214996;0,4144930741640926;5
Il6;6,24397740809838e-01;0,77627827235817692;;;Pneumonia + CI;1,074164;0,4587473632403787;5
Prdx5;1,06611313544314e-01;0,36299814916506712;;;Control + CI;1,206086;0,2580579866619128;5
Prdx5;1,06611313544314e-01;0,36299814916506712;;;Pneumonia + CI;0,745582;0,4798990514368620;5
Tgfa;6,40749421962480e-01;0,78598595760730872;;;Control + CI;4,238602;0,2166255420535631;5
Tgfa;6,40749421962480e-01;0,78598595760730872;;;Pneumonia + CI;4,342228;0,4190561486483643;5
Ccl5;4,08627514062032e-01;0,61629067694601547;;;Control + CI;-0,030672;0,2152881327895246;5
Ccl5;4,08627514062032e-01;0,61629067694601547;;;Pneumonia + CI;-0,185936;0,3306702939938815;5
Epo;2,66036197376032e-01;0,46179868223764048;;;Control + CI;2,841076;1,0084146839619106;5
